scopus_id,affiliation_name,affiliation_city,affiliation_country
SCOPUS_ID:84973664517,University of the Sunshine Coast,Sippy Downs,Australia
SCOPUS_ID:84955069529,University of the Sunshine Coast,Sippy Downs,Australia
SCOPUS_ID:84997078143,Southern Medical University,TongHe,China
SCOPUS_ID:84997078143,Southern Medical University,TongHe,China
SCOPUS_ID:84997078143,Southern Medical University,TongHe,China
SCOPUS_ID:84927534831,Peking University,Beijing,China
SCOPUS_ID:84904717935,Peking University,Beijing,China
SCOPUS_ID:84908139310,Peking University,Beijing,China
SCOPUS_ID:84860595449,Peking University,Beijing,China
SCOPUS_ID:85020874287,Peking University,Beijing,China
SCOPUS_ID:84945576490,Hangzhou Normal University,Hangzhou,China
SCOPUS_ID:85018795304,Peking University,Beijing,China
SCOPUS_ID:85004010393,Harbin Institute of Technology,Harbin,China
SCOPUS_ID:84987058778,The University of North Carolina at Chapel Hill,Chapel Hill,United States
SCOPUS_ID:84987058778,Peking University,Beijing,China
SCOPUS_ID:35949019410,The University of North Carolina at Chapel Hill,Chapel Hill,United States
SCOPUS_ID:35949019410,Peking University,Beijing,China
SCOPUS_ID:84958484819,Peking University Health Science Center,Beijing,China
SCOPUS_ID:84984287724,Peking University,Beijing,China
SCOPUS_ID:84978718905,Peking University,Beijing,China
SCOPUS_ID:84978718905,Xinhua Hospital,Shanghai,China
SCOPUS_ID:85013792334,Peking University,Beijing,China
SCOPUS_ID:33746829535,Peking University,Beijing,China
SCOPUS_ID:34347237285,Peking University,Beijing,China
SCOPUS_ID:35748969575,Peking University,Beijing,China
SCOPUS_ID:84959491908,Peking University,Beijing,China
SCOPUS_ID:84959491908,Peking University,Beijing,China
SCOPUS_ID:84931265100,Peking University,Beijing,China
SCOPUS_ID:85032633960,Sun Yat-Sen University,Guangzhou,China
SCOPUS_ID:85032633960,Shenzhen University,"Qingshuihe, Shenzhen",China
SCOPUS_ID:85028771499,Peking University,Beijing,China
SCOPUS_ID:84904215460,Peking University,Beijing,China
SCOPUS_ID:85017029331,Peking University,Beijing,China
SCOPUS_ID:84891508201,Peking University,Beijing,China
SCOPUS_ID:84891508201,Peking University,Beijing,China
SCOPUS_ID:84962147305,Peking University,Beijing,China
SCOPUS_ID:84877908359,Peking University,Beijing,China
SCOPUS_ID:85007586441,Peking University,Beijing,China
SCOPUS_ID:85007586441,Peking University,Beijing,China
SCOPUS_ID:85007586441,Tufts University,Medford,United States
